Source / Medium,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Ecommerce Conversion Rate,Transactions,Revenue
m.thanhnien.vn / local_display,1,0,10,0.1,4.0,254.2,0.0,0,0.0
maccenter.vn / local_display,1,0,1,0.0,8.0,356.0,0.0,0,0.0
mangapark.net / local_display,1,0,2,0.5,1.5,4.0,0.0,0,0.0
messenger.com / local_display,1,0,1,1.0,1.0,0.0,0.0,0,0.0
misaigon.vn / local_display,1,0,1,1.0,1.0,0.0,0.0,0,0.0
mistore.com.vn / local_display,1,0,2,0.5,5.5,421.0,0.0,0,0.0
nhattao.com / local_display,1,1,1,1.0,1.0,0.0,0.0,0,0.0
no.search.yahoo.com / referral,1,1,1,0.0,4.0,183.0,0.0,0,0.0
notify.bluecoat.com / local_display,1,0,1,0.0,8.0,315.0,0.0,0,0.0
online.acb.com.vn / local_display,1,0,1,0.0,39.0,894.0,0.0,0,0.0
openurls.com.cn / local_display,1,1,1,1.0,1.0,0.0,0.0,0,0.0
oxii.vn / local_display,1,0,2,0.0,9.5,781.5,0.0,0,0.0
ozbargain.com.au / local_display,1,0,2,0.5,2.5,59.0,0.0,0,0.0
pages.lazada.vn / local_display,1,0,1,1.0,1.0,0.0,0.0,0,0.0
pfp1.boehringer.com / local_display,1,1,1,0.0,4.0,87.0,0.0,0,0.0
phatdatcomputer.vn / local_display,1,0,24,0.5416666666666666,1.8333333333333333,70.375,0.0,0,0.0
phimmoi.net / local_display,1,0,8,0.5,4.25,56.75,0.0,0,0.0
phukiengiare24h.com / local_display,1,1,2,1.0,1.0,0.0,0.0,0,0.0
proe.vn / local_display,1,1,1,1.0,1.0,0.0,0.0,0,0.0
rinkshop.tk / local_display,1,0,1,0.0,2.0,8.0,0.0,0,0.0
saigonvape.net / local_display,1,0,1,1.0,1.0,0.0,0.0,0,0.0
saigonxua.vn / local_display,1,0,3,0.6666666666666666,1.3333333333333333,351.6666666666667,0.0,0,0.0
search.google.com / referral,1,0,1,1.0,1.0,0.0,0.0,0,0.0
sextop1.net / local_display,1,0,12,0.5,3.0,56.416666666666664,0.0,0,0.0
shopeecs.lightning.force.com / local_display,1,1,1,1.0,1.0,0.0,0.0,0,0.0
sogou / organic,1,1,1,1.0,1.0,0.0,0.0,0,0.0
start.mysearchdial.com / local_display,1,0,3,1.0,1.0,0.0,0.0,0,0.0
techzones.vn / local_display,1,0,9,0.3333333333333333,4.666666666666667,259.55555555555554,0.0,0,0.0
tendata.mailsou.com / local_display,1,1,1,1.0,1.0,0.0,0.0,0,0.0
thegioididong.com / local_display,1,0,1,1.0,1.0,0.0,0.0,0,0.0
thiendia.com / local_display,1,0,5,0.2,4.4,605.6,0.0,0,0.0
touch.facebook.com / referral,1,0,1,1.0,1.0,0.0,0.0,0,0.0
tpc.googlesyndication.com / referral,1,0,31,0.45161290322580644,2.4516129032258065,38.45161290322581,0.0,0,0.0
translate.google.com / referral,1,1,2,1.0,1.0,0.0,0.0,0,0.0
tuoi69.com / local_display,1,0,1,1.0,1.0,0.0,0.0,0,0.0
tuoitre.vn / local_display,1,0,15,0.4,11.066666666666666,535.4666666666667,0.0,0,0.0
